 Name SpType Teff e_Teff log(g) e_log(g) [Fe/H] e_[Fe/H]
640 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/128000.txt "K5III       " " 3941" "  12" " 1.86" " 0.12" " 0.05" 0.05
641 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/128167.txt "F2V         " " 6703" "  26" " 4.21" " 0.03" -0.42 0.04
642 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/128385.txt "F5          " " 6192" "  40" " 4.19" " 0.06" -0.24 0.06
643 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/128750.txt "K2III:      " " 4617" "  21" " 2.50" " 0.08" -0.21 0.05
644 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/128987.txt "G6V         " " 5581" "  29" " 4.62" " 0.05" " 0.08" 0.05
645 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129132.txt "G0V         " " 6761" "  45" " 3.90" " 0.06" " 0.04" 0.05
93 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/12929.txt "K2III       " " 4527" "  19" " 2.42" " 0.07" -0.19 0.04
646 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129312.txt "G7III       " " 5002" "  28" " 2.37" " 0.07" " 0.02" 0.06
647 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129336.txt "G8III       " " 4942" "  32" " 2.64" " 0.09" -0.28 0.07
94 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/12953.txt "A1Iae       " 10766 " 185" " 1.65" " 0.05" " 0.37" 0.11
648 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129956.txt "B9.5V       " 10252 " 160" " 3.86" " 0.09" -0.37 0.1
649 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129972.txt "G8.5III     " " 4987" "  28" " 2.64" " 0.07" -0.02 0.06
650 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/129978.txt "K2III       " " 4500" "  20" " 2.25" " 0.08" -0.20 0.05
651 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130025.txt "K0          " " 5226" "  32" " 2.82" " 0.08" -0.13 0.07
652 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130087.txt "G2IV        " " 5950" "  33" " 4.10" " 0.06" " 0.23" 0.05
653 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130109.txt "A0V         " " 9772" " 205" " 3.83" " 0.12" -0.41 0.14
